AgentID;Operation;Result
254:;Action Chosen;Action.explore
254:;Observation;Sentence: propositions: DAY^ORANGE, reward: Reward.none , evidence: 1 
254:;Current Health;Health.moreThanThreeQuarter
254:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
254:;Action Chosen;Action.explore
254:;Observation;Sentence: propositions: DAY^ORANGE, reward: Reward.none , evidence: 1 
254:;Current Health;Health.moreThanThreeQuarter
254:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
254:;Action Chosen;Action.explore
254:;Observation;Sentence: propositions: DAY^ORANGE, reward: Reward.none , evidence: 1 
254:;Current Health;Health.moreThanThreeQuarter
254:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
254:;Action Chosen;Action.explore
254:;Observation;Sentence: propositions: DAY^ORANGE, reward: Reward.none , evidence: 1 
254:;Current Health;Health.moreThanThreeQuarter
254:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
254:;Action Chosen;Action.explore
254:;Observation;Sentence: propositions: DAY^ORANGE, reward: Reward.none , evidence: 1 
254:;Current Health;Health.moreThanThreeQuarter
254:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
254:;Action Chosen;Action.explore
8:;Observation;Sentence: propositions: DAY^GREEN, reward: Reward.none , evidence: 1 
8:;Current Health;Health.moreThanThreeQuarter
8:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
8:;Action Chosen;Action.explore
8:;Observation;Sentence: propositions: DAY^GREEN, reward: Reward.none , evidence: 1 
8:;Current Health;Health.moreThanThreeQuarter
8:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
8:;Action Chosen;Action.explore
8:;Observation;Sentence: propositions: DAY^GREEN, reward: Reward.none , evidence: 1 
8:;Current Health;Health.moreThanThreeQuarter
8:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
8:;Action Chosen;Action.explore
8:;Observation;Sentence: propositions: DAY^GREEN, reward: Reward.none , evidence: 1 
8:;Current Health;Health.moreThanThreeQuarter
8:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
8:;Action Chosen;Action.explore
397:;Observation;Sentence: propositions: DAY^GREEN, reward: Reward.none , evidence: 1 
397:;Current Health;Health.moreThanThreeQuarter
397:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
397:;Action Chosen;Action.explore
8:;Observation;Sentence: propositions: DAY^GREEN, reward: Reward.none , evidence: 1 
8:;Current Health;Health.moreThanThreeQuarter
8:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
8:;Action Chosen;Action.explore
397:;Observation;Sentence: propositions: DAY^GREEN, reward: Reward.none , evidence: 1 
397:;Current Health;Health.moreThanThreeQuarter
397:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
397:;Action Chosen;Action.explore
397:;Observation;Sentence: propositions: DAY^GREEN, reward: Reward.none , evidence: 1 
397:;Current Health;Health.moreThanThreeQuarter
397:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
397:;Action Chosen;Action.explore
397:;Observation;Sentence: propositions: DAY^GREEN, reward: Reward.none , evidence: 1 
397:;Current Health;Health.moreThanThreeQuarter
397:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
397:;Action Chosen;Action.explore
289:;Observation;Sentence: propositions: !DAY^GREEN, reward: Reward.none , evidence: 1 
289:;Current Health;Health.moreThanThreeQuarter
289:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
289:;Action Chosen;Action.explore
289:;Observation;Sentence: propositions: !DAY^GREEN, reward: Reward.none , evidence: 1 
289:;Current Health;Health.moreThanThreeQuarter
289:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
289:;Action Chosen;Action.explore
816:;Observation;Sentence: propositions: ROCK^TREE^!DAY^GREEN, reward: Reward.none , evidence: 1 
816:;Current Health;Health.moreThanThreeQuarter
816:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
816:;Action Chosen;Action.explore
816:;Observation;Sentence: propositions: ROCK^TREE^!DAY^GREEN, reward: Reward.none , evidence: 1 
816:;Current Health;Health.moreThanThreeQuarter
816:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
816:;Action Chosen;Action.explore
816:;Observation;Sentence: propositions: ROCK^TREE^!DAY^GREEN, reward: Reward.none , evidence: 1 
816:;Current Health;Health.moreThanThreeQuarter
816:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
816:;Action Chosen;Action.explore
816:;Observation;Sentence: propositions: ROCK^TREE^!DAY^GREEN, reward: Reward.none , evidence: 1 
816:;Current Health;Health.moreThanThreeQuarter
816:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
816:;Action Chosen;Action.explore
816:;Observation;Sentence: propositions: ROCK^TREE^!DAY^GREEN, reward: Reward.none , evidence: 1 
816:;Current Health;Health.moreThanThreeQuarter
816:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
816:;Action Chosen;Action.explore
816:;Observation;Sentence: propositions: ROCK^TREE^!DAY^GREEN, reward: Reward.none , evidence: 1 
816:;Current Health;Health.moreThanThreeQuarter
816:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
816:;Action Chosen;Action.explore
448:;Observation;Sentence: propositions: !DAY^GREEN, reward: Reward.none , evidence: 1 
448:;Current Health;Health.moreThanThreeQuarter
448:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
448:;Action Chosen;Action.explore
448:;Observation;Sentence: propositions: !DAY^GREEN, reward: Reward.none , evidence: 1 
448:;Current Health;Health.moreThanThreeQuarter
448:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
448:;Action Chosen;Action.explore
448:;Observation;Sentence: propositions: !DAY^GREEN, reward: Reward.none , evidence: 1 
448:;Current Health;Health.moreThanThreeQuarter
448:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
448:;Action Chosen;Action.explore
448:;Observation;Sentence: propositions: !DAY^GREEN, reward: Reward.none , evidence: 1 
448:;Current Health;Health.moreThanThreeQuarter
448:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
448:;Action Chosen;Action.explore
448:;Observation;Sentence: propositions: !DAY^GREEN, reward: Reward.none , evidence: 1 
448:;Current Health;Health.moreThanThreeQuarter
448:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
448:;Action Chosen;Action.explore
448:;Observation;Sentence: propositions: !DAY^GREEN, reward: Reward.none , evidence: 1 
448:;Current Health;Health.moreThanThreeQuarter
448:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
448:;Action Chosen;Action.explore
448:;Observation;Sentence: propositions: !DAY^GREEN, reward: Reward.none , evidence: 1 
448:;Current Health;Health.moreThanThreeQuarter
448:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
448:;Action Chosen;Action.explore
448:;Observation;Sentence: propositions: !DAY^GREEN, reward: Reward.none , evidence: 1 
448:;Current Health;Health.moreThanThreeQuarter
448:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
448:;Action Chosen;Action.explore
448:;Observation;Sentence: propositions: !DAY^GREEN, reward: Reward.none , evidence: 1 
448:;Current Health;Health.moreThanThreeQuarter
448:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
448:;Action Chosen;Action.explore
448:;Observation;Sentence: propositions: !DAY^GREEN, reward: Reward.none , evidence: 1 
448:;Current Health;Health.moreThanThreeQuarter
448:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
448:;Action Chosen;Action.explore
8:;Observation;Sentence: propositions: !DAY^GREEN, reward: Reward.none , evidence: 1 
8:;Current Health;Health.moreThanThreeQuarter
8:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
8:;Action Chosen;Action.explore
8:;Observation;Sentence: propositions: !DAY^GREEN, reward: Reward.none , evidence: 1 
8:;Current Health;Health.moreThanThreeQuarter
8:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
8:;Action Chosen;Action.explore
289:;Observation;Sentence: propositions: ROCK^!DAY^PURPLE, reward: Reward.none , evidence: 1 
289:;Current Health;Health.moreThanThreeQuarter
289:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
289:;Action Chosen;Action.explore
289:;Observation;Sentence: propositions: ROCK^!DAY^PURPLE, reward: Reward.none , evidence: 1 
289:;Current Health;Health.moreThanThreeQuarter
289:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
289:;Action Chosen;Action.explore
289:;Observation;Sentence: propositions: ROCK^!DAY^PURPLE, reward: Reward.none , evidence: 1 
289:;Current Health;Health.moreThanThreeQuarter
289:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
289:;Action Chosen;Action.explore
289:;Observation;Sentence: propositions: ROCK^!DAY^PURPLE, reward: Reward.none , evidence: 1 
289:;Current Health;Health.moreThanThreeQuarter
289:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
289:;Action Chosen;Action.explore
122:;Observation;Sentence: propositions: ROCK^!DAY^GREEN, reward: Reward.none , evidence: 1 
122:;Current Health;Health.moreThanThreeQuarter
122:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
122:;Action Chosen;Action.explore
122:;Observation;Sentence: propositions: ROCK^!DAY^GREEN, reward: Reward.none , evidence: 1 
122:;Current Health;Health.moreThanThreeQuarter
122:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
122:;Action Chosen;Action.explore
122:;Observation;Sentence: propositions: ROCK^!DAY^GREEN, reward: Reward.none , evidence: 1 
122:;Current Health;Health.moreThanThreeQuarter
122:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
122:;Action Chosen;Action.explore
122:;Observation;Sentence: propositions: !DAY^GREEN, reward: Reward.none , evidence: 1 
122:;Current Health;Health.moreThanThreeQuarter
122:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
122:;Action Chosen;Action.explore
122:;Observation;Sentence: propositions: !DAY^GREEN, reward: Reward.none , evidence: 1 
122:;Current Health;Health.moreThanThreeQuarter
122:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
122:;Action Chosen;Action.explore
448:;Observation;Sentence: propositions: !DAY^BLUE, reward: Reward.none , evidence: 1 
448:;Current Health;Health.moreThanThreeQuarter
448:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
448:;Action Chosen;Action.explore
448:;Observation;Sentence: propositions: !DAY^BLUE, reward: Reward.none , evidence: 1 
448:;Current Health;Health.moreThanThreeQuarter
448:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
448:;Action Chosen;Action.explore
448:;Observation;Sentence: propositions: !DAY^BLUE, reward: Reward.none , evidence: 1 
448:;Current Health;Health.moreThanThreeQuarter
448:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
448:;Action Chosen;Action.explore
122:;Observation;Sentence: propositions: !DAY^GREEN, reward: Reward.none , evidence: 1 
122:;Current Health;Health.moreThanThreeQuarter
122:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
122:;Action Chosen;Action.explore
448:;Observation;Sentence: propositions: !DAY^BLUE, reward: Reward.none , evidence: 1 
448:;Current Health;Health.moreThanThreeQuarter
448:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
448:;Action Chosen;Action.explore
448:;Observation;Sentence: propositions: !DAY^BLUE, reward: Reward.none , evidence: 1 
448:;Current Health;Health.moreThanThreeQuarter
448:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
448:;Action Chosen;Action.explore
140:;Observation;Sentence: propositions: ROCK^!DAY^PURPLE, reward: Reward.none , evidence: 1 
140:;Current Health;Health.moreThanThreeQuarter
140:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
140:;Action Chosen;Action.explore
140:;Observation;Sentence: propositions: ROCK^!DAY^PURPLE, reward: Reward.none , evidence: 1 
140:;Current Health;Health.moreThanThreeQuarter
140:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
140:;Action Chosen;Action.explore
140:;Observation;Sentence: propositions: ROCK^!DAY^PURPLE, reward: Reward.none , evidence: 1 
140:;Current Health;Health.moreThanThreeQuarter
140:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
140:;Action Chosen;Action.explore
140:;Observation;Sentence: propositions: ROCK^!DAY^PURPLE, reward: Reward.none , evidence: 1 
140:;Current Health;Health.moreThanThreeQuarter
140:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
140:;Action Chosen;Action.explore
140:;Observation;Sentence: propositions: ROCK^!DAY^PURPLE, reward: Reward.none , evidence: 1 
140:;Current Health;Health.moreThanThreeQuarter
140:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
140:;Action Chosen;Action.explore
140:;Observation;Sentence: propositions: !DAY^PURPLE, reward: Reward.none , evidence: 1 
140:;Current Health;Health.moreThanThreeQuarter
140:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
140:;Action Chosen;Action.explore
140:;Observation;Sentence: propositions: !DAY^PURPLE, reward: Reward.none , evidence: 1 
140:;Current Health;Health.moreThanThreeQuarter
140:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
140:;Action Chosen;Action.explore
289:;Observation;Sentence: propositions: TREE^!DAY^PURPLE, reward: Reward.none , evidence: 1 
289:;Current Health;Health.moreThanThreeQuarter
289:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
289:;Action Chosen;Action.explore
122:;Observation;Sentence: propositions: !DAY^BLUE, reward: Reward.none , evidence: 1 
122:;Current Health;Health.moreThanThreeQuarter
122:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
122:;Action Chosen;Action.explore
122:;Observation;Sentence: propositions: !DAY^BLUE, reward: Reward.none , evidence: 1 
122:;Current Health;Health.moreThanThreeQuarter
122:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
122:;Action Chosen;Action.explore
122:;Observation;Sentence: propositions: !DAY^BLUE, reward: Reward.none , evidence: 1 
122:;Current Health;Health.moreThanThreeQuarter
122:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
122:;Action Chosen;Action.explore
289:;Observation;Sentence: propositions: TREE^!DAY^PURPLE, reward: Reward.none , evidence: 1 
289:;Current Health;Health.moreThanThreeQuarter
289:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
289:;Action Chosen;Action.explore
254:;Observation;Sentence: propositions: TREE^!DAY^PURPLE, reward: Reward.none , evidence: 1 
254:;Current Health;Health.moreThanThreeQuarter
254:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
254:;Action Chosen;Action.explore
254:;Observation;Sentence: propositions: TREE^!DAY^PURPLE, reward: Reward.none , evidence: 1 
254:;Current Health;Health.moreThanThreeQuarter
254:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
254:;Action Chosen;Action.explore
289:;Observation;Sentence: propositions: !DAY^BLUE, reward: Reward.nontoxic , evidence: 1 
289:;Current Health;Health.moreThanThreeQuarter
289:;Reward;nontoxic
289:;Belief;Sentence: propositions: !DAY^BLUE, reward: Reward.nontoxic , evidence: 1 
289:;DecisionMakingSystem;{'eat': {'true': 0.9090909090909091, 'false': 0.09090909090909091, 'entropy': 0.30463609734923813}}
289:;DecisionMakingSystem;{'eat': 3.205460148611951, 'explore': 5.54225208209486}
289:;Action Chosen;Action.explore
254:;Observation;Sentence: propositions: TREE^!DAY^PURPLE, reward: Reward.none , evidence: 1 
254:;Current Health;Health.moreThanThreeQuarter
254:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
254:;Action Chosen;Action.explore
289:;Observation;Sentence: propositions: !DAY^BLUE, reward: Reward.nontoxic , evidence: 1 
289:;Current Health;Health.moreThanThreeQuarter
289:;Reward;nontoxic
289:;DecisionMakingSystem;{'eat': {'true': 0.9090909090909091, 'false': 0.09090909090909091, 'entropy': 0.30463609734923813}}
289:;DecisionMakingSystem;{'eat': 3.205460148611951, 'explore': 5.54225208209486}
289:;Action Chosen;Action.explore
254:;Observation;Sentence: propositions: TREE^!DAY^PURPLE, reward: Reward.none , evidence: 1 
254:;Current Health;Health.moreThanThreeQuarter
254:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
254:;Action Chosen;Action.explore
289:;Observation;Sentence: propositions: !DAY^BLUE, reward: Reward.nontoxic , evidence: 1 
289:;Current Health;Health.moreThanThreeQuarter
289:;Reward;nontoxic
289:;DecisionMakingSystem;{'eat': {'true': 0.9090909090909091, 'false': 0.09090909090909091, 'entropy': 0.30463609734923813}}
289:;DecisionMakingSystem;{'eat': 3.205460148611951, 'explore': 5.54225208209486}
289:;Action Chosen;Action.explore
254:;Observation;Sentence: propositions: TREE^!DAY^PURPLE, reward: Reward.none , evidence: 1 
254:;Current Health;Health.moreThanThreeQuarter
254:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
254:;Action Chosen;Action.explore
289:;Observation;Sentence: propositions: !DAY^BLUE, reward: Reward.nontoxic , evidence: 1 
289:;Current Health;Health.moreThanThreeQuarter
289:;Reward;nontoxic
289:;DecisionMakingSystem;{'eat': {'true': 0.9090909090909091, 'false': 0.09090909090909091, 'entropy': 0.30463609734923813}}
289:;DecisionMakingSystem;{'eat': 3.205460148611951, 'explore': 5.54225208209486}
289:;Action Chosen;Action.explore
254:;Observation;Sentence: propositions: TREE^!DAY^PURPLE, reward: Reward.none , evidence: 1 
254:;Current Health;Health.moreThanThreeQuarter
254:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
254:;Action Chosen;Action.explore
289:;Observation;Sentence: propositions: !DAY^BLUE, reward: Reward.nontoxic , evidence: 1 
289:;Current Health;Health.moreThanThreeQuarter
289:;Reward;nontoxic
289:;DecisionMakingSystem;{'eat': {'true': 0.9090909090909091, 'false': 0.09090909090909091, 'entropy': 0.30463609734923813}}
289:;DecisionMakingSystem;{'eat': 3.205460148611951, 'explore': 5.54225208209486}
289:;Action Chosen;Action.explore
254:;Observation;Sentence: propositions: TREE^!DAY^PURPLE, reward: Reward.none , evidence: 1 
254:;Current Health;Health.moreThanThreeQuarter
254:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
254:;Action Chosen;Action.explore
289:;Observation;Sentence: propositions: !DAY^BLUE, reward: Reward.nontoxic , evidence: 1 
289:;Current Health;Health.moreThanThreeQuarter
289:;Reward;nontoxic
289:;DecisionMakingSystem;{'eat': {'true': 0.9090909090909091, 'false': 0.09090909090909091, 'entropy': 0.30463609734923813}}
289:;DecisionMakingSystem;{'eat': 3.205460148611951, 'explore': 5.54225208209486}
289:;Action Chosen;Action.explore
254:;Observation;Sentence: propositions: TREE^!DAY^PURPLE, reward: Reward.none , evidence: 1 
254:;Current Health;Health.moreThanThreeQuarter
254:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
254:;Action Chosen;Action.explore
289:;Observation;Sentence: propositions: !DAY^BLUE, reward: Reward.nontoxic , evidence: 1 
289:;Current Health;Health.moreThanThreeQuarter
289:;Reward;nontoxic
289:;DecisionMakingSystem;{'eat': {'true': 0.9090909090909091, 'false': 0.09090909090909091, 'entropy': 0.30463609734923813}}
289:;DecisionMakingSystem;{'eat': 3.205460148611951, 'explore': 5.54225208209486}
289:;Action Chosen;Action.explore
122:;Observation;Sentence: propositions: !DAY^BLUE, reward: Reward.none , evidence: 1 
122:;Current Health;Health.moreThanThreeQuarter
122:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
122:;Action Chosen;Action.explore
254:;Observation;Sentence: propositions: TREE^!DAY^PURPLE, reward: Reward.none , evidence: 1 
254:;Current Health;Health.moreThanThreeQuarter
254:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
254:;Action Chosen;Action.explore
289:;Observation;Sentence: propositions: !DAY^BLUE, reward: Reward.nontoxic , evidence: 1 
289:;Current Health;Health.moreThanThreeQuarter
289:;Reward;nontoxic
289:;DecisionMakingSystem;{'eat': {'true': 0.9090909090909091, 'false': 0.09090909090909091, 'entropy': 0.30463609734923813}}
289:;DecisionMakingSystem;{'eat': 3.205460148611951, 'explore': 5.54225208209486}
289:;Action Chosen;Action.explore
254:;Observation;Sentence: propositions: DAY^PURPLE, reward: Reward.none , evidence: 1 
254:;Current Health;Health.moreThanThreeQuarter
254:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
254:;Action Chosen;Action.explore
289:;Observation;Sentence: propositions: DAY^BLUE, reward: Reward.nontoxic , evidence: 1 
289:;Current Health;Health.moreThanThreeQuarter
289:;Reward;nontoxic
289:;Belief;Sentence: propositions: !DAY^BLUE, reward: Reward.nontoxic , evidence: 1 # Sentence: propositions: !DAY^BLUE, reward: Reward.nontoxic  v propositions: DAY^BLUE, reward: Reward.nontoxic , evidence: 2 # Sentence: propositions: DAY^BLUE, reward: Reward.nontoxic , evidence: 1 
289:;DecisionMakingSystem;{'eat': {'true': 0.9090909090909091, 'false': 0.09090909090909091, 'entropy': 0.30463609734923813}}
289:;DecisionMakingSystem;{'eat': 3.205460148611951, 'explore': 5.54225208209486}
289:;Action Chosen;Action.explore
254:;Observation;Sentence: propositions: DAY^PURPLE, reward: Reward.none , evidence: 1 
254:;Current Health;Health.moreThanThreeQuarter
254:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
254:;Action Chosen;Action.explore
289:;Observation;Sentence: propositions: DAY^BLUE, reward: Reward.nontoxic , evidence: 1 
289:;Current Health;Health.moreThanThreeQuarter
289:;Reward;nontoxic
289:;DecisionMakingSystem;{'eat': {'true': 0.9090909090909091, 'false': 0.09090909090909091, 'entropy': 0.30463609734923813}}
289:;DecisionMakingSystem;{'eat': 3.205460148611951, 'explore': 5.54225208209486}
289:;Action Chosen;Action.explore
254:;Observation;Sentence: propositions: DAY^PURPLE, reward: Reward.none , evidence: 1 
254:;Current Health;Health.moreThanThreeQuarter
254:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
254:;Action Chosen;Action.explore
289:;Observation;Sentence: propositions: DAY^BLUE, reward: Reward.nontoxic , evidence: 1 
289:;Current Health;Health.moreThanThreeQuarter
289:;Reward;nontoxic
289:;DecisionMakingSystem;{'eat': {'true': 0.9090909090909091, 'false': 0.09090909090909091, 'entropy': 0.30463609734923813}}
289:;DecisionMakingSystem;{'eat': 3.205460148611951, 'explore': 5.54225208209486}
289:;Action Chosen;Action.explore
254:;Observation;Sentence: propositions: DAY^PURPLE, reward: Reward.none , evidence: 1 
254:;Current Health;Health.moreThanThreeQuarter
254:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
254:;Action Chosen;Action.explore
289:;Observation;Sentence: propositions: DAY^BLUE, reward: Reward.nontoxic , evidence: 1 
